Company,related_paragraphs,Ticker,title
Toronto-Dominion Bank,"Canada’s TD Bank Group made a multiyear commitment to use Oracle Cloud—including Cloud Infrastructure, Autonomous Data Warehouse, Analytics Cloud, and other cloud services—to move their financial reporting systems from an on-premises configuration to a cloud deployment, improving performance at a lower cost.",,Customer highlights from Q1 FY21 earnings
Dicks Sporting Goods Inc,"With brick-and-mortar stores largely closed due to COVID-19, Dick’s expanded their number of agents supporting ecommerce, as well as their CRM RightNow Service Cloud contract, to help handle the significant uptick in the volume of customer inquiries. Through enhanced customer service efforts, with self-service options supporting their ecommerce site, Dick’s was able to maintain a single source of truth for customer data, driving in tandem optimal customer service experiences via their call centers.",,Customer highlights from Q1 FY21 earnings
National Instruments Corp,"National Instruments, which produces automated test equipment and virtual instrumentation software, has a COVID response team that is using Oracle Analytics on Fusion HCM to create visualizations to monitor case count and changes for critical locations. These insights help the National Instruments’ HR team understand the situations of their 8,000 employees so they can make important decisions on how to best reopen their facilities.",,Customer highlights from Q1 FY21 earnings
Walker & Dunlop,"These initiatives will all be supported by our continued commitment to harness the power of technology, including artificial intelligence, data analytics, and machine learning, to enable our team to gain deeper insight into clients' portfolios and assets. ",,walker--dunlop-unveils-its-drive-to-25-strategy-to-become-the-premier-commercial-real-estate-finance-company-in-the-us
AMTD International Inc,"Its service offerings include strategic consulting, data analytics and insights, branding management, ecosystem building, and capital market services. ",,amtd-36kr-airstar-digital-and-calvin-choi-announces-joint-venture-of-ak73-capital-to-build-full-lifecyle-service-platform-for-new-economy-enterprises
Dish,"It will equip revenue and customer platforms with enriched, real-time usage data for monetization and analytics purposes. ",,dish-selects-digitalroutes-usage-data-platform-to-enable-5g-monetization
Coca-Cola European Partners PLC,"Coca-Cola European Partners, who is deploying several large SAP software workloads -- including the SAP ERP application and the SAP BW/4 HANA® solution -- as part of its hybrid transformation. The work is designed to help CCEP deliver higher levels of service to its customers by leveraging advanced analytics while retaining a reliable infrastructure.",,ibm-drives-capabilities-for-clients-to-run-business-critical-sap-software-workloads-on-hybrid-cloud
Invesco Ltd,"She is a strategic, global leader with deep expertise in driving growth, digital transformation, advanced analytics, cyber security, and operational excellence. Prior to that, Ms. Tolliver served as Chief Information Officer from 2014-2016, and as Corporate Vice President Business Services from 2011-2016 for The Dow Chemical Company, driving the firm's IT strategy while also overseeing a portfolio of business services that included global procurement, business process transaction service centers, customer service, advanced analytics and facilities. ",,invesco-ltd-nominates-paula-tolliver-for-election-to-its-board-of-directors
AT&T,"Customers can easily connect voice data - including conversational content, sentiment analytics and call meta-data to big data sets, applications such as Salesforce, and more. ",,att-business-supercharges-its-ip-toll-free-iptf-network-with-dubber-unified-call-recording-ucr-and-voice-ai
Coupa,"""We are very excited about joining forces with Coupa,"" said Razat Gaurav, CEO at LLamasoft. ""Combining Coupa's market-leading spend management execution core and broad market reach with LLamasoft's AI-powered supply chain analytics provides a unique opportunity to bring together digital transformation solutions that drive decision making and operational efficiency across the enterprise. I am equally excited for employees of both organizations who share a culture that prioritizes delivering innovation and exceptional customer value.""",,coupa-acquires-ai-powered-supply-chain-design-and-planning-leader-llamasoft-broadening-its-leadership-in-business-spend-management
Morningstar,"In conducting the strategy evaluation, the analysts will assess the analytics and personnel committed to each strategy and the extent to which the strategy incorporates those resources into the investment process. To perform the evaluation of asset managers, analysts will consider how clearly the firm has articulated its ESG philosophy and policies, and the degree to which it has driven those policies through its culture and investment processes. The ESG Commitment Level evaluation of strategies and asset managers will follow a four-point scale of Leader, Advanced, Basic, and Low.   ",Morn,morningstar-formally-integrates-esg-into-its-analysis-of-stocks-funds-and-asset-managers
SIERRA," Companies globally are adopting IoT to improve operational efficiency, create better customer experiences, improve their business models and create new revenue streams.",SWIR,sierra-wireless-selects-zenoss-for-intelligent-iot-systems-monitoring
Food locker,"(NYSE: FL), the New York-based specialty athletic retailer, today announced the appointment of Himanshu Parikh as Senior Vice President, Chief Information Officer, effective December 11, 2020.;; Parikh will have operational responsibility for the Company's technology and infrastructure, and he will work closely with the senior executive team to streamline processes as well as evaluate and implement new and integrated systems and tools across the organization critical to the Company's omni-channel initiatives.;; I am confident that his deep expertise and breadth of experience leading Digital, Omni-Channel, Enterprise Resource Planning, and Information Security functions will be strong assets as we continue to advance our technology projects and investments to evolve as a fully-integrated omni-channel company.   Parikh is an accomplished technology leader with over 25 years of experience in strategic planning, business solutions and organizational development for top-tier retail companies.;; Prior to joining Michaels, Parikh held several executive roles with Ross Stores, leading teams that developed modern web and mobile applications, IT investment plans, roadmaps, technology standards, and governance of new technology.",FL,foot-locker-inc-appoints-himanshu-parikh-as-senior-vice-president-chief-information-officer
Deluxe Corporation,"Michael Mathews, SVP & CIO, Deluxe: ""As a 105-year old company supporting more than 4.5 million small businesses, we needed a way to unlock and unify data quickly as part of our digital transformation. The only way to do that is through the reusable APIs that we're building with MuleSoft. With MuleSoft, we are able to seamlessly consolidate more than 52 ERP and financial systems, dozens of customer relationship management systems, and hundreds of marketing systems to deliver a connected customer experience.""",DLX,cios-across-industries-accelerate-digital-initiatives-with-mulesoft
,,,
,,,
